ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16
-30.81,-713.05,-510.58,136.45,118.84,-510.58,-391.74,-523.79,57.22,-281.7,-360.93,-250.89,-44.02,158.46,-391.74,677.84
-171.66,-853.9,-831.9,-22.01,-101.24,-752.67,-660.23,-862.71,-92.43,-431.35,-431.35,-581.01,-422.55,-110.04,-532.59,198.07
-193.67,-853.9,-941.93,0.0,-352.13,-880.31,-814.29,-981.55,-140.85,-484.17,-492.98,-761.47,-651.43,-303.71,-682.24,-382.94
-13.2,-691.05,-853.9,0.0,-382.94,-814.29,-743.86,-933.13,-92.43,-453.36,-510.58,-862.71,-761.47,-290.5,-911.12,-853.9
149.65,-510.58,-642.63,48.42,-61.62,-563.4,-581.01,-704.25,48.42,-374.13,-431.35,-814.29,-620.62,-83.63,-972.75,-902.32
189.27,-431.35,-453.36,79.23,369.73,-312.51,-422.55,-470.97,176.06,-171.66,-211.28,-660.23,-352.13,79.23,-871.51,-752.67
149.65,-492.98,-374.13,136.45,708.65,-110.04,-321.31,-330.12,237.68,0.0,17.61,-382.94,-154.05,118.84,-673.44,-594.21
88.03,-492.98,-290.5,215.68,779.08,-30.81,-211.28,-233.28,176.06,136.45,176.06,-140.85,-52.82,39.61,-510.58,-550.2
66.02,-312.51,-70.43,259.69,699.85,-22.01,-70.43,-52.82,136.45,96.83,118.84,-13.2,17.61,17.61,-470.97,-470.97
48.42,-52.82,158.46,259.69,576.6,0.0,17.61,158.46,176.06,-30.81,8.8,17.61,237.68,158.46,-470.97,-330.12
8.8,0.0,316.91,198.07,479.77,-13.2,17.61,316.91,215.68,-171.66,-110.04,118.84,457.76,259.69,-391.74,-154.05
-70.43,-70.43,316.91,176.06,435.75,-171.66,-92.43,378.53,215.68,-171.66,-92.43,237.68,598.61,277.3,-132.05,136.45
-154.05,-211.28,378.53,237.68,435.75,-290.5,-171.66,479.77,215.68,-110.04,-30.81,378.53,699.85,316.91,136.45,677.84
-211.28,-193.67,457.76,316.91,338.92,-312.51,-132.05,559.0,237.68,-132.05,-70.43,435.75,717.45,316.91,259.69,999.15
-250.89,-132.05,435.75,259.69,39.61,-290.5,-110.04,497.38,136.45,-250.89,-211.28,356.53,497.38,118.84,39.61,655.83
-132.05,-92.43,299.31,198.07,-233.28,-312.51,-171.66,277.3,17.61,-352.13,-312.51,79.23,79.23,-110.04,-233.28,-52.82
26.41,-13.2,158.46,198.07,-352.13,-312.51,-233.28,79.23,-22.01,-312.51,-290.5,-233.28,-272.9,-290.5,-413.75,-660.23
189.27,79.23,17.61,176.06,-250.89,-233.28,-272.9,-30.81,0.0,-272.9,-233.28,-594.21,-550.2,-330.12,-431.35,-933.13
228.88,198.07,-70.43,79.23,-30.81,-92.43,-312.51,-193.67,-22.01,-180.46,-140.85,-770.27,-730.66,-374.13,-352.13,-1100.39
246.49,237.68,-193.67,-30.81,198.07,17.61,-312.51,-330.12,-30.81,-22.01,0.0,-713.05,-713.05,-352.13,-211.28,-1232.44
246.49,149.65,-154.05,-52.82,559.0,149.65,-211.28,-290.5,-13.2,308.11,308.11,-470.97,-484.17,-202.47,26.41,-1021.16
127.65,-52.82,-30.81,17.61,779.08,57.22,-171.66,-154.05,79.23,396.14,396.14,-233.28,-132.05,17.61,338.92,-440.16
-70.43,-382.94,-44.02,96.83,757.07,-162.86,-281.7,-92.43,198.07,215.68,259.69,-211.28,105.64,228.88,545.79,198.07
-290.5,-611.82,-193.67,96.83,598.61,-422.55,-470.97,-154.05,198.07,17.61,8.8,-272.9,277.3,347.72,616.22,818.69
-233.28,-603.01,-281.7,39.61,545.79,-532.59,-501.78,-220.08,136.45,-101.24,-83.63,-272.9,448.96,528.19,686.64,1417.3
-154.05,-501.78,-303.71,17.61,589.81,-603.01,-462.16,-281.7,158.46,-193.67,-193.67,-132.05,567.8,708.65,708.65,2007.11
-233.28,-492.98,-352.13,39.61,589.81,-743.86,-510.58,-343.32,158.46,-382.94,-400.54,0.0,598.61,809.89,598.61,2456.07
-352.13,-501.78,-413.75,79.23,519.38,-814.29,-541.39,-352.13,176.06,-611.82,-594.21,48.42,589.81,827.49,286.1,2658.54
-352.13,-360.93,-303.71,66.02,387.34,-611.82,-352.13,-220.08,189.27,-713.05,-691.05,268.5,589.81,717.45,-52.82,2605.73
-233.28,-140.85,-101.24,66.02,347.72,-290.5,-30.81,0.0,127.65,-673.44,-651.43,466.57,545.79,576.6,-391.74,2209.58
-110.04,-13.2,-22.01,39.61,378.53,-30.81,105.64,39.61,57.22,-550.2,-532.59,488.57,369.73,369.73,-541.39,1478.93
-13.2,96.83,17.61,17.61,466.57,149.65,96.83,-13.2,0.0,-242.09,-242.09,308.11,39.61,105.64,-440.16,638.23
105.64,189.27,17.61,17.61,669.04,308.11,26.41,-44.02,0.0,118.84,136.45,57.22,-162.86,-44.02,-140.85,-83.63
206.87,149.65,-22.01,8.8,867.11,378.53,17.61,-123.24,8.8,545.79,488.57,-30.81,-321.31,-202.47,105.64,-673.44
189.27,8.8,-171.66,-110.04,999.15,325.72,-132.05,-272.9,-132.05,686.64,629.42,-110.04,-532.59,-453.36,316.91,-1113.6
66.02,-101.24,-321.31,-272.9,1095.99,189.27,-220.08,-431.35,-330.12,638.23,655.83,-171.66,-704.25,-682.24,506.18,-1373.29
-13.2,-92.43,-431.35,-374.13,1095.99,57.22,-290.5,-510.58,-470.97,559.0,598.61,-250.89,-871.51,-831.9,779.08,-1443.71
-70.43,-162.86,-492.98,-391.74,937.53,-123.24,-492.98,-572.2,-510.58,409.35,448.96,-413.75,-871.51,-801.08,1029.97,-1272.05
-272.9,-431.35,-572.2,-431.35,598.61,-550.2,-853.9,-651.43,-550.2,118.84,158.46,-691.05,-770.27,-691.05,1157.61,-893.52
-374.13,-611.82,-633.83,-532.59,316.91,-933.13,-1091.59,-691.05,-594.21,-61.62,-44.02,-853.9,-651.43,-550.2,1219.23,-343.32
-290.5,-532.59,-611.82,-572.2,338.92,-990.35,-990.35,-633.83,-532.59,-154.05,-132.05,-713.05,-492.98,-413.75,1135.6,176.06
-110.04,-290.5,-510.58,-453.36,396.14,-792.28,-691.05,-532.59,-391.74,-193.67,-233.28,-431.35,-312.51,-272.9,677.84,506.18
-13.2,-211.28,-431.35,-312.51,215.68,-611.82,-532.59,-470.97,-290.5,-413.75,-470.97,-352.13,-211.28,-193.67,-154.05,479.77
-13.2,-272.9,-431.35,-250.89,-22.01,-550.2,-572.2,-470.97,-290.5,-651.43,-730.66,-391.74,-211.28,-193.67,-990.35,237.68
8.8,-250.89,-431.35,-272.9,17.61,-352.13,-470.97,-453.36,-290.5,-633.83,-691.05,-193.67,-193.67,-132.05,-1333.67,-22.01
105.64,-30.81,-330.12,-171.66,338.92,0.0,-92.43,-330.12,-193.67,-352.13,-352.13,215.68,-70.43,-13.2,-1170.82,-92.43
189.27,215.68,-70.43,8.8,616.22,457.76,277.3,-70.43,8.8,-13.2,0.0,638.23,57.22,57.22,-814.29,-193.67
228.88,457.76,136.45,57.22,699.85,779.08,519.38,158.46,79.23,198.07,277.3,796.68,176.06,57.22,-431.35,-312.51
246.49,559.0,277.3,-22.01,739.46,897.92,519.38,277.3,57.22,396.14,457.76,757.07,158.46,-13.2,-30.81,-453.36
149.65,435.75,176.06,-171.66,699.85,757.07,316.91,158.46,-110.04,457.76,497.38,536.99,-22.01,-211.28,268.5,-651.43
-92.43,79.23,-30.81,-391.74,457.76,338.92,-70.43,-70.43,-431.35,299.31,356.53,136.45,-272.9,-492.98,506.18,-814.29
-453.36,-272.9,-312.51,-550.2,136.45,-132.05,-572.2,-352.13,-633.83,79.23,176.06,-233.28,-510.58,-713.05,827.49,-704.25
-550.2,-431.35,-413.75,-594.21,136.45,-453.36,-853.9,-470.97,-611.82,57.22,198.07,-431.35,-532.59,-673.44,1267.65,-374.13
-391.74,-321.31,-303.71,-492.98,347.72,-484.17,-801.08,-382.94,-453.36,176.06,316.91,-431.35,-391.74,-470.97,1659.39,26.41
-250.89,-233.28,-132.05,-330.12,387.34,-532.59,-691.05,-233.28,-290.5,136.45,259.69,-453.36,-250.89,-312.51,1628.58,308.11
-330.12,-343.32,-22.01,-193.67,118.84,-682.24,-682.24,-61.62,-162.86,-171.66,-101.24,-563.4,-154.05,-211.28,1118.0,435.75
-492.98,-492.98,8.8,8.8,-140.85,-831.9,-713.05,17.61,-13.2,-611.82,-572.2,-633.83,-13.2,-70.43,409.35,448.96
-330.12,-330.12,118.84,167.26,-303.71,-651.43,-453.36,158.46,127.65,-783.48,-801.08,-501.78,127.65,39.61,-180.46,347.72
-30.81,17.61,268.5,259.69,-440.16,-211.28,-110.04,268.5,176.06,-691.05,-770.27,-290.5,158.46,57.22,-770.27,26.41
105.64,228.88,338.92,189.27,-633.83,127.65,136.45,308.11,136.45,-501.78,-642.63,-101.24,88.03,-13.2,-1294.06,-422.55
105.64,316.91,308.11,66.02,-673.44,325.72,308.11,299.31,17.61,-250.89,-352.13,88.03,0.0,-92.43,-1461.32,-814.29
105.64,308.11,316.91,48.42,-413.75,409.35,378.53,308.11,79.23,48.42,-13.2,369.73,48.42,-52.82,-1250.04,-902.32
149.65,308.11,387.34,136.45,-220.08,435.75,418.15,387.34,136.45,338.92,378.53,559.0,136.45,-22.01,-814.29,-761.47
88.03,316.91,435.75,189.27,-220.08,378.53,497.38,457.76,167.26,387.34,466.57,567.8,167.26,-22.01,-462.16,-603.01
-30.81,378.53,316.91,136.45,-264.09,356.53,536.99,378.53,57.22,215.68,316.91,479.77,39.61,-30.81,-140.85,-541.39
-70.43,528.19,149.65,-22.01,-193.67,369.73,647.03,206.87,0.0,118.84,228.88,448.96,-30.81,-70.43,176.06,-453.36
-92.43,479.77,39.61,-92.43,-123.24,259.69,519.38,96.83,-70.43,136.45,198.07,378.53,-30.81,-30.81,448.96,-220.08
-233.28,127.65,48.42,-92.43,-242.09,-61.62,66.02,127.65,-52.82,39.61,79.23,57.22,57.22,0.0,536.99,48.42
-510.58,-233.28,57.22,-70.43,-532.59,-510.58,-413.75,136.45,8.8,-132.05,-92.43,-352.13,158.46,96.83,528.19,299.31
-673.44,-330.12,118.84,-52.82,-620.62,-572.2,-532.59,176.06,0.0,-290.5,-171.66,-550.2,198.07,176.06,669.04,426.95
-532.59,8.8,356.53,57.22,-510.58,-132.05,-110.04,435.75,118.84,-154.05,-22.01,-250.89,396.14,316.91,809.89,638.23
-233.28,396.14,699.85,316.91,-312.51,316.91,378.53,836.3,356.53,57.22,176.06,237.68,739.46,559.0,669.04,858.3
-52.82,616.22,875.91,479.77,-330.12,479.77,616.22,1038.77,519.38,79.23,79.23,479.77,959.54,677.84,215.68,818.69
-30.81,576.6,796.68,396.14,-550.2,237.68,418.15,897.92,457.76,-110.04,-193.67,299.31,858.3,638.23,-272.9,519.38
-30.81,378.53,598.61,237.68,-752.67,-30.81,57.22,638.23,316.91,-312.51,-413.75,-30.81,559.0,479.77,-651.43,299.31
26.41,259.69,479.77,198.07,-814.29,-171.66,-92.43,479.77,259.69,-312.51,-391.74,-211.28,259.69,299.31,-831.9,237.68
88.03,277.3,356.53,259.69,-713.05,-154.05,-110.04,316.91,198.07,-193.67,-272.9,-132.05,-22.01,79.23,-893.52,158.46
26.41,299.31,158.46,176.06,-532.59,-70.43,-92.43,39.61,57.22,-70.43,-171.66,8.8,-250.89,-154.05,-831.9,-13.2
-30.81,215.68,-13.2,-22.01,-312.51,-70.43,-110.04,-171.66,-70.43,8.8,-30.81,39.61,-413.75,-312.51,-651.43,-70.43
-30.81,96.83,-70.43,-52.82,-110.04,-30.81,-92.43,-211.28,-70.43,96.83,118.84,79.23,-312.51,-211.28,-312.51,57.22
48.42,57.22,17.61,17.61,39.61,39.61,8.8,8.8,39.61,316.91,396.14,118.84,-52.82,-30.81,96.83,176.06
268.5,158.46,215.68,198.07,277.3,237.68,96.83,198.07,176.06,576.6,655.83,158.46,39.61,8.8,607.42,17.61
528.19,396.14,299.31,259.69,559.0,536.99,299.31,299.31,158.46,858.3,937.53,215.68,-22.01,-110.04,1095.99,-272.9
748.27,677.84,259.69,215.68,867.11,919.93,576.6,299.31,96.83,1095.99,1157.61,356.53,-52.82,-154.05,1448.11,-400.54
889.12,897.92,316.91,237.68,1078.38,1258.85,858.3,396.14,136.45,1179.62,1236.84,598.61,39.61,-22.01,1399.7,-250.89
906.72,919.93,576.6,356.53,1126.8,1316.07,999.15,699.85,277.3,1078.38,1056.38,809.89,356.53,237.68,985.95,17.61
889.12,818.69,875.91,457.76,977.15,1118.0,977.15,1056.38,396.14,836.3,757.07,858.3,638.23,356.53,347.72,26.41
867.11,677.84,999.15,457.76,787.88,827.49,875.91,1197.23,396.14,607.42,426.95,787.88,708.65,299.31,-193.67,-30.81
827.49,559.0,875.91,396.14,589.81,528.19,757.07,1095.99,316.91,299.31,88.03,647.03,647.03,237.68,-594.21,-140.85
708.65,435.75,655.83,338.92,435.75,206.87,545.79,867.11,277.3,-13.2,-140.85,479.77,607.42,215.68,-911.12,0.0
545.79,259.69,396.14,237.68,409.35,8.8,286.1,567.8,206.87,-180.46,-290.5,387.34,559.0,215.68,-1003.56,215.68
308.11,8.8,105.64,48.42,426.95,-211.28,88.03,206.87,-22.01,-242.09,-290.5,378.53,356.53,79.23,-880.31,488.57
48.42,-264.09,-162.86,-140.85,369.73,-374.13,-44.02,-83.63,-233.28,-202.47,-272.9,356.53,79.23,-52.82,-660.23,647.03
-132.05,-532.59,-391.74,-290.5,268.5,-453.36,-180.46,-321.31,-360.93,-242.09,-233.28,246.49,-132.05,-211.28,-501.78,616.22
-330.12,-611.82,-572.2,-352.13,158.46,-541.39,-360.93,-541.39,-391.74,-303.71,-242.09,39.61,-360.93,-330.12,-352.13,387.34
-532.59,-594.21,-853.9,-453.36,206.87,-523.79,-492.98,-911.12,-492.98,-330.12,-202.47,-140.85,-581.01,-431.35,-110.04,17.61
-611.82,-594.21,-1131.2,-550.2,426.95,-422.55,-532.59,-1210.43,-550.2,-220.08,-83.63,-220.08,-743.86,-470.97,215.68,-272.9
-611.82,-633.83,-1170.82,-550.2,717.45,-233.28,-510.58,-1232.44,-470.97,-52.82,39.61,-110.04,-691.05,-330.12,629.42,-242.09
-470.97,-611.82,-911.12,-391.74,906.72,0.0,-374.13,-933.13,-272.9,136.45,277.3,66.02,-413.75,-110.04,827.49,-22.01
-211.28,-413.75,-470.97,-193.67,919.93,356.53,-132.05,-453.36,-70.43,418.15,559.0,338.92,-30.81,39.61,875.91,118.84
88.03,-70.43,8.8,0.0,858.3,655.83,158.46,17.61,79.23,677.84,818.69,598.61,316.91,237.68,968.34,325.72
387.34,198.07,338.92,237.68,717.45,677.84,378.53,457.76,299.31,818.69,937.53,739.46,655.83,435.75,977.15,536.99
426.95,299.31,497.38,396.14,479.77,418.15,378.53,638.23,418.15,717.45,779.08,616.22,796.68,497.38,787.88,638.23
308.11,237.68,457.76,378.53,356.53,39.61,237.68,576.6,356.53,418.15,418.15,378.53,699.85,418.15,479.77,616.22
246.49,136.45,356.53,299.31,497.38,-193.67,158.46,435.75,277.3,96.83,57.22,259.69,598.61,316.91,299.31,598.61
286.1,17.61,338.92,237.68,638.23,-352.13,118.84,418.15,299.31,-92.43,-132.05,215.68,638.23,338.92,176.06,717.45
189.27,-70.43,378.53,237.68,378.53,-492.98,0.0,457.76,338.92,-312.51,-374.13,79.23,699.85,396.14,-22.01,796.68
26.41,-132.05,338.92,215.68,-132.05,-572.2,-13.2,418.15,277.3,-532.59,-611.82,-70.43,598.61,338.92,-272.9,655.83
8.8,-13.2,259.69,198.07,-550.2,-510.58,0.0,316.91,198.07,-713.05,-792.28,-233.28,356.53,158.46,-510.58,316.91
26.41,39.61,158.46,215.68,-713.05,-413.75,17.61,176.06,158.46,-831.9,-893.52,-431.35,96.83,-13.2,-673.44,8.8
8.8,0.0,0.0,237.68,-770.27,-413.75,-110.04,8.8,96.83,-853.9,-893.52,-730.66,-154.05,-211.28,-814.29,-250.89
-13.2,-30.81,-193.67,158.46,-713.05,-391.74,-374.13,-330.12,0.0,-633.83,-673.44,-1012.36,-492.98,-352.13,-831.9,-374.13
26.41,8.8,-470.97,8.8,-431.35,-211.28,-431.35,-691.05,-110.04,-193.67,-233.28,-1012.36,-814.29,-431.35,-633.83,-431.35
167.26,79.23,-691.05,-171.66,-30.81,79.23,-250.89,-933.13,-250.89,176.06,118.84,-770.27,-950.74,-453.36,-352.13,-391.74
189.27,158.46,-752.67,-193.67,176.06,338.92,8.8,-911.12,-250.89,338.92,277.3,-470.97,-853.9,-413.75,-171.66,-250.89
66.02,215.68,-611.82,-92.43,215.68,457.76,198.07,-651.43,-132.05,237.68,198.07,-233.28,-594.21,-272.9,-110.04,8.8
-13.2,277.3,-413.75,-13.2,118.84,409.35,316.91,-431.35,8.8,26.41,26.41,-154.05,-374.13,-92.43,-92.43,215.68
8.8,215.68,-374.13,-30.81,0.0,176.06,237.68,-431.35,-22.01,-132.05,-154.05,-272.9,-330.12,-30.81,-92.43,338.92
-13.2,66.02,-492.98,-110.04,17.61,-83.63,0.0,-572.2,-92.43,-264.09,-303.71,-470.97,-374.13,-22.01,-30.81,369.73
-13.2,-30.81,-550.2,-171.66,57.22,-321.31,-171.66,-673.44,-171.66,-242.09,-360.93,-550.2,-352.13,-22.01,96.83,435.75
26.41,-92.43,-440.16,-162.86,96.83,-462.16,-202.47,-541.39,-123.24,-242.09,-303.71,-440.16,-242.09,66.02,325.72,545.79
8.8,-171.66,-290.5,-132.05,-30.81,-501.78,-233.28,-330.12,-70.43,-303.71,-343.32,-290.5,-154.05,57.22,396.14,497.38
-30.81,-242.09,-180.46,-92.43,-242.09,-532.59,-220.08,-171.66,-61.62,-422.55,-440.16,-180.46,-123.24,-22.01,299.31,176.06
8.8,-180.46,-92.43,-30.81,-233.28,-374.13,-101.24,-30.81,-83.63,-413.75,-462.16,-83.63,-83.63,-83.63,228.88,-202.47
48.42,17.61,26.41,17.61,0.0,-193.67,88.03,17.61,8.8,-264.09,-281.7,17.61,8.8,17.61,118.84,-532.59
105.64,57.22,176.06,176.06,57.22,-44.02,198.07,136.45,158.46,-123.24,-101.24,-13.2,79.23,118.84,-70.43,-572.2
26.41,0.0,228.88,268.5,57.22,-83.63,88.03,127.65,228.88,-101.24,-83.63,-140.85,48.42,189.27,-400.54,-501.78
-92.43,-132.05,79.23,215.68,17.61,-202.47,-154.05,-13.2,136.45,-83.63,-123.24,-352.13,-13.2,158.46,-673.44,-453.36
-171.66,-180.46,-52.82,96.83,66.02,-281.7,-374.13,-193.67,17.61,-61.62,-140.85,-510.58,-92.43,66.02,-730.66,-382.94
-211.28,-193.67,-193.67,8.8,96.83,-374.13,-550.2,-330.12,8.8,-70.43,-110.04,-633.83,-110.04,8.8,-572.2,-250.89
-233.28,-250.89,-272.9,-92.43,57.22,-440.16,-594.21,-391.74,-70.43,-162.86,-140.85,-611.82,-70.43,-30.81,-374.13,-22.01
-272.9,-290.5,-250.89,-110.04,57.22,-413.75,-492.98,-374.13,-110.04,-250.89,-193.67,-431.35,-22.01,-22.01,-193.67,316.91
-250.89,-330.12,-272.9,-110.04,57.22,-272.9,-330.12,-330.12,-110.04,-233.28,-171.66,-132.05,118.84,57.22,-52.82,559.0
-193.67,-391.74,-391.74,-193.67,79.23,-154.05,-312.51,-374.13,-154.05,-171.66,-132.05,57.22,118.84,39.61,118.84,699.85
-171.66,-431.35,-550.2,-330.12,79.23,-171.66,-431.35,-492.98,-250.89,-171.66,-132.05,158.46,0.0,-13.2,378.53,739.46
-233.28,-492.98,-651.43,-413.75,-13.2,-352.13,-550.2,-611.82,-352.13,-374.13,-290.5,57.22,-171.66,-154.05,479.77,638.23
-431.35,-572.2,-611.82,-453.36,-374.13,-572.2,-611.82,-633.83,-431.35,-730.66,-651.43,-110.04,-330.12,-272.9,215.68,299.31
-572.2,-633.83,-572.2,-510.58,-713.05,-673.44,-611.82,-550.2,-492.98,-990.35,-950.74,-290.5,-413.75,-352.13,-171.66,-171.66
-510.58,-532.59,-532.59,-532.59,-673.44,-510.58,-431.35,-492.98,-510.58,-911.12,-911.12,-211.28,-413.75,-374.13,-453.36,-673.44
-250.89,-250.89,-492.98,-453.36,-132.05,-110.04,-92.43,-453.36,-470.97,-550.2,-572.2,0.0,-413.75,-330.12,-594.21,-1051.97
-13.2,8.8,-312.51,-272.9,497.38,118.84,136.45,-290.5,-312.51,-250.89,-250.89,176.06,-352.13,-272.9,-752.67,-1294.06
-13.2,-13.2,-70.43,-110.04,897.92,96.83,118.84,-30.81,-110.04,-132.05,-132.05,176.06,-211.28,-233.28,-933.13,-1412.9
-13.2,-154.05,39.61,-52.82,875.91,-13.2,8.8,118.84,8.8,-110.04,-110.04,57.22,-92.43,-171.66,-950.74,-1390.89
-13.2,-250.89,-22.01,-92.43,638.23,-92.43,-110.04,57.22,-30.81,-70.43,-70.43,8.8,-92.43,-154.05,-770.27,-1294.06
88.03,-312.51,-211.28,-233.28,457.76,-132.05,-233.28,-171.66,-193.67,-30.81,-22.01,-154.05,-250.89,-211.28,-581.01,-1043.17
48.42,-550.2,-532.59,-453.36,356.53,-312.51,-492.98,-532.59,-413.75,-70.43,-52.82,-431.35,-453.36,-330.12,-413.75,-633.83
-52.82,-893.52,-770.27,-633.83,325.72,-550.2,-831.9,-783.48,-572.2,-101.24,-101.24,-673.44,-550.2,-374.13,-180.46,-83.63
-154.05,-1153.21,-853.9,-691.05,277.3,-673.44,-1034.37,-871.51,-594.21,-110.04,-110.04,-770.27,-550.2,-250.89,96.83,378.53
-154.05,-1232.44,-823.09,-633.83,246.49,-673.44,-1051.97,-823.09,-523.79,-22.01,0.0,-743.86,-484.17,-101.24,536.99,796.68
-193.67,-1250.04,-752.67,-572.2,189.27,-691.05,-1073.98,-752.67,-453.36,-13.2,26.41,-752.67,-453.36,-52.82,928.73,968.34
-352.13,-1272.05,-761.47,-563.4,-13.2,-831.9,-1162.01,-761.47,-440.16,-70.43,-92.43,-840.7,-400.54,-61.62,1038.77,919.93
-572.2,-1192.82,-761.47,-550.2,-382.94,-1012.36,-1192.82,-783.48,-422.55,-352.13,-413.75,-823.09,-321.31,0.0,669.04,836.3
-633.83,-950.74,-691.05,-382.94,-682.24,-924.33,-880.31,-752.67,-312.51,-611.82,-673.44,-603.01,-154.05,79.23,48.42,655.83
-470.97,-611.82,-541.39,-242.09,-792.28,-620.62,-343.32,-620.62,-272.9,-660.23,-713.05,-312.51,-123.24,79.23,-462.16,215.68
-233.28,-233.28,-453.36,-220.08,-713.05,-281.7,17.61,-541.39,-281.7,-691.05,-752.67,-220.08,-290.5,-92.43,-972.75,-413.75
-52.82,57.22,-330.12,-220.08,-633.83,-101.24,198.07,-400.54,-281.7,-770.27,-853.9,-264.09,-470.97,-352.13,-1430.51,-911.12
-13.2,176.06,-123.24,-123.24,-572.2,-83.63,189.27,-180.46,-193.67,-783.48,-853.9,-272.9,-422.55,-431.35,-1663.79,-990.35
-13.2,39.61,57.22,-22.01,-422.55,-123.24,105.64,39.61,-30.81,-691.05,-673.44,-220.08,-233.28,-352.13,-1672.59,-972.75
-30.81,-171.66,189.27,-13.2,-202.47,-233.28,-22.01,246.49,-44.02,-510.58,-431.35,-220.08,-123.24,-382.94,-1461.32,-950.74
8.8,-272.9,189.27,-61.62,17.61,-290.5,-44.02,268.5,-140.85,-391.74,-352.13,-242.09,-140.85,-484.17,-1153.21,-933.13
105.64,-193.67,96.83,-110.04,206.87,-290.5,-92.43,158.46,-233.28,-321.31,-303.71,-272.9,-211.28,-532.59,-761.47,-682.24
88.03,-233.28,17.61,-193.67,127.65,-330.12,-193.67,17.61,-264.09,-281.7,-281.7,-462.16,-321.31,-523.79,-431.35,-400.54
-132.05,-532.59,-250.89,-352.13,-193.67,-532.59,-510.58,-272.9,-391.74,-391.74,-374.13,-950.74,-611.82,-633.83,-233.28,-290.5
-453.36,-831.9,-470.97,-510.58,-501.78,-713.05,-853.9,-523.79,-532.59,-400.54,-360.93,-1412.9,-933.13,-752.67,8.8,-220.08
-470.97,-713.05,-550.2,-550.2,-453.36,-572.2,-814.29,-651.43,-633.83,-154.05,-52.82,-1390.89,-1091.59,-792.28,616.22,-52.82
-193.67,-250.89,-374.13,-453.36,-13.2,-30.81,-290.5,-470.97,-532.59,299.31,426.95,-770.27,-871.51,-651.43,1329.27,149.65
48.42,198.07,8.8,-250.89,338.92,497.38,356.53,-30.81,-272.9,677.84,757.07,17.61,-352.13,-374.13,1518.54,237.68
189.27,559.0,457.76,0.0,435.75,818.69,937.53,479.77,17.61,717.45,739.46,638.23,198.07,-52.82,1135.6,118.84
347.72,796.68,919.93,338.92,396.14,919.93,1258.85,977.15,316.91,616.22,638.23,999.15,699.85,176.06,638.23,-52.82
629.42,937.53,1179.62,616.22,519.38,959.54,1355.68,1258.85,536.99,655.83,655.83,1258.85,1016.76,396.14,435.75,-171.66
